ects_kolegija,tezina_kolegija,postotak_ocjene,tezina_obveze,sigurnost_prije,tip_Ispit,tip_Kolokvij,tip_Labos,tip_Mini test,tip_Ostalo,tip_Projekt,tip_Seminar,tip_Usmeni ispit,tip_Zadaće,sati_ucenja,sati_ucenja_log,id_ispitanika
6.0,6.0,66.7,6.0,4.0,False,True,False,False,False,False,False,False,False,20.0,3.044522437723423,25
6.0,6.0,100.0,6.0,6.0,False,False,False,False,False,False,True,False,False,12.0,2.5649493574615367,25
6.0,8.0,166.7,9.0,6.0,False,True,False,False,False,False,False,False,False,52.0,3.970291913552122,25
6.0,8.0,100.0,8.0,6.0,False,False,False,False,False,False,True,False,False,42.0,3.7612001156935624,25
6.0,9.0,100.0,8.0,6.0,True,False,False,False,False,False,False,False,False,45.0,3.828641396489095,25
6.0,9.0,,6.0,4.0,False,False,False,False,False,False,False,True,False,20.0,3.044522437723423,25
8.0,10.0,1.0,4.0,3.0,False,False,False,False,False,False,True,False,False,8.0,2.1972245773362196,26
8.0,10.0,100.0,10.0,10.0,True,False,False,False,False,False,False,False,False,900.0,6.803505257608338,26
3.0,2.0,100.0,3.0,7.0,False,True,False,False,False,False,False,False,False,4.0,1.6094379124341003,26
3.0,2.0,100.0,3.0,7.0,False,False,False,False,False,False,True,False,False,12.0,2.5649493574615367,26
4.0,7.0,100.0,8.0,10.0,True,False,False,False,False,False,False,False,False,100.0,4.61512051684126,26
4.0,7.0,,7.0,7.0,False,False,False,False,False,False,False,True,False,10.0,2.3978952727983707,26
6.0,6.0,153.8,3.0,9.0,False,True,False,False,False,False,False,False,False,38.0,3.6635616461296463,27
6.0,6.0,30.8,4.0,8.0,False,False,False,False,False,False,True,False,False,60.0,4.110873864173311,27
5.0,6.0,333.3,5.0,9.0,False,False,False,False,False,True,False,False,False,10.0,2.3978952727983707,27
5.0,6.0,333.3,7.0,5.0,False,True,False,False,False,False,False,False,False,23.0,3.1780538303479458,27
6.0,8.0,166.7,8.0,6.0,True,False,False,False,False,False,False,False,False,170.0,5.14166355650266,27
6.0,8.0,,9.0,6.0,False,False,False,False,False,False,False,True,False,184.0,5.220355825078324,27
6.0,5.0,18.0,6.0,4.0,False,False,False,False,False,True,False,False,False,15.0,2.772588722239781,28
6.0,5.0,72.0,4.0,5.0,True,False,False,False,False,False,False,False,False,3.0,1.3862943611198906,28
4.0,6.0,40.0,7.0,4.0,False,False,False,False,False,True,False,False,False,20.0,3.044522437723423,28
